tcg_category_id,tcg_group_id,tcg_product_id,tcg_subtype,game,set,number,name,vars,rarity,value,value_updated,language,condition,psa_10,cgc_10,grade_9
3,24541,675953,Holofoil,Pokemon,ME: Ascended Heroes,141,Hoopa,Holofoil,Rare,0.13,2026-03-28 00:01:14,en,,30.69,25.0,10.18
3,24541,675818,Holofoil,Pokemon,ME: Ascended Heroes,6,Erika's Victreebel,Holofoil,Rare,0.22,2026-03-28 00:01:14,en,,30.69,25.0,10.18
3,24541,676913,Reverse Holofoil,Pokemon,ME: Ascended Heroes,78,Team Rocket's exeggutor (Team Rocket),Reverse Holofoil,Rare,0.27,2026-03-28 00:01:14,en,,,,
3,24541,676964,Reverse Holofoil,Pokemon,ME: Ascended Heroes,143,Pecharunt (Poke Ball),Reverse Holofoil,Rare,0.37,2026-03-28 00:01:14,en,,,,
3,24451,680480,Holofoil,Pokemon,ME: Mega Evolution Promo,31,N's Zekrom,Holofoil,Promo,6.89,2026-03-28 00:01:14,en,,,,45.0
3,24541,675998,Reverse Holofoil,Pokemon,ME: Ascended Heroes,186,Counter Gain,Reverse Holofoil,Common,0.17,2026-03-28 00:01:14,en,,30.93,25.0,10.25
3,24541,676003,Reverse Holofoil,Pokemon,ME: Ascended Heroes,191,Light Ball,Reverse Holofoil,Uncommon,1.27,2026-03-28 00:01:14,en,,32.11,26.0,10.56
3,24541,676021,Reverse Holofoil,Pokemon,ME: Ascended Heroes,209,Team Rocket's Transceiver,Reverse Holofoil,Uncommon,0.31,2026-03-28 00:01:14,en,,31.42,25.0,10.38
3,24541,676970,Reverse Holofoil,Pokemon,ME: Ascended Heroes,151,Dragonair (Love Ball),Reverse Holofoil,Uncommon,0.23,2026-03-28 00:01:14,en,,,,
3,24541,676993,Reverse Holofoil,Pokemon,ME: Ascended Heroes,2,Erika's Gloom (Energy Symbol Pattern),Reverse Holofoil,Uncommon,0.22,2026-03-28 00:01:14,en,,35.26,28.0,11.39
3,24541,676949,Reverse Holofoil,Pokemon,ME: Ascended Heroes,123,Gastly (Dusk Ball),Reverse Holofoil,Common,0.41,2026-03-28 00:01:14,en,,,,
3,24541,677086,Reverse Holofoil,Pokemon,ME: Ascended Heroes,119,Carkol (Energy Symbol Pattern),Reverse Holofoil,Common,0.17,2026-03-28 00:01:14,en,,,,
3,24541,677129,Reverse Holofoil,Pokemon,ME: Ascended Heroes,176,Drampa (Energy Symbol Pattern),Reverse Holofoil,Uncommon,0.23,2026-03-28 00:01:14,en,,,,
3,24541,676905,Reverse Holofoil,Pokemon,ME: Ascended Heroes,66,Vikavolt (Quick Ball),Reverse Holofoil,Uncommon,0.18,2026-03-28 00:01:14,en,,,,
3,24541,676926,Reverse Holofoil,Pokemon,ME: Ascended Heroes,94,Slurpuff (Love Ball),Reverse Holofoil,Uncommon,0.3,2026-03-28 00:01:14,en,,,,
3,24541,677026,Reverse Holofoil,Pokemon,ME: Ascended Heroes,41,Totodile (Energy Symbol Pattern),Reverse Holofoil,Common,0.19,2026-03-28 00:01:14,en,,39.83,32.0,12.6
3,24541,676859,Reverse Holofoil,Pokemon,ME: Ascended Heroes,9,Bayleef (Friend Ball),Reverse Holofoil,Uncommon,0.22,2026-03-28 00:01:14,en,,,,
3,24541,677099,Reverse Holofoil,Pokemon,ME: Ascended Heroes,134,Scraggy (Energy Symbol Pattern),Reverse Holofoil,Common,0.22,2026-03-28 00:01:14,en,,,,
3,24541,676892,Reverse Holofoil,Pokemon,ME: Ascended Heroes,50,N's Vanillish (Poke Ball),Reverse Holofoil,Common,0.16,2026-03-28 00:01:14,en,,,,
3,24541,676978,Reverse Holofoil,Pokemon,ME: Ascended Heroes,161,Team Rocket's Meowth (Team Rocket),Reverse Holofoil,Common,0.14,2026-03-28 00:01:14,en,,,,
3,24541,675934,Holofoil,Pokemon,ME: Ascended Heroes,122,Okidogi,Holofoil,Rare,0.1,2026-03-28 00:01:14,en,,30.64,25.0,10.17
3,24541,675990,Holofoil,Pokemon,ME: Ascended Heroes,178,Terapagos,Holofoil,Rare,0.07,2026-03-28 00:01:14,en,,30.54,24.0,10.14
3,24541,675898,Holofoil,Pokemon,ME: Ascended Heroes,86,Mismagius,Holofoil,Rare,0.12,2026-03-28 00:01:14,en,,30.98,25.0,10.26
3,24541,675932,Holofoil,Pokemon,ME: Ascended Heroes,120,Coalossal,Holofoil,Rare,0.08,2026-03-28 00:01:14,en,,30.49,24.0,10.13
3,24541,675898,Holofoil,Pokemon,ME: Ascended Heroes,86,Mismagius,Holofoil,Rare,0.12,2026-03-28 00:01:14,en,,30.98,25.0,10.26
3,24541,675911,Holofoil,Pokemon,ME: Ascended Heroes,99,Munkidori,Holofoil,Rare,0.17,2026-03-28 00:01:14,en,,31.62,25.0,10.43
3,24541,675818,Holofoil,Pokemon,ME: Ascended Heroes,6,Erika's Victreebel,Holofoil,Rare,0.22,2026-03-28 00:01:14,en,,30.69,25.0,10.18
3,24541,675818,Holofoil,Pokemon,ME: Ascended Heroes,6,Erika's Victreebel,Holofoil,Rare,0.22,2026-03-28 00:01:14,en,,30.69,25.0,10.18
3,24541,676939,Reverse Holofoil,Pokemon,ME: Ascended Heroes,108,Groudon (Dusk Ball),Reverse Holofoil,Rare,0.15,2026-03-28 00:01:14,en,,,,
3,24541,676906,Reverse Holofoil,Pokemon,ME: Ascended Heroes,67,Tapu Koko (Quick Ball),Reverse Holofoil,Rare,0.17,2026-03-28 00:01:14,en,,,,
3,24541,677053,Reverse Holofoil,Pokemon,ME: Ascended Heroes,78,Team Rocket's exeggutor (Energy Symbol Pattern),Reverse Holofoil,Rare,0.25,2026-03-28 00:01:14,en,,,,
3,24541,675888,Holofoil,Pokemon,ME: Ascended Heroes,76,Lillie's Clefairy ex,Holofoil,Double Rare,0.97,2026-03-28 00:01:14,en,,39.53,32.0,12.52
3,24541,676072,Holofoil,Pokemon,ME: Ascended Heroes,260,Glass Trumpet,Holofoil,Ultra Rare,0.99,2026-03-28 00:01:14,en,,41.0,33.0,12.91
3,24541,676041,Holofoil,Pokemon,ME: Ascended Heroes,229,Heliolisk,Holofoil,Illustration Rare,2.41,2026-03-28 00:01:14,en,,74.5,60.0,16.39
3,24541,676065,Holofoil,Pokemon,ME: Ascended Heroes,253,Mega Audino ex,Holofoil,Ultra Rare,2.48,2026-03-28 00:01:14,en,,63.0,10.75,15.68
3,24541,675855,Holofoil,Pokemon,ME: Ascended Heroes,43,Mega Feraligatr ex,Holofoil,Double Rare,3.13,2026-03-28 00:01:14,en,,52.79,42.0,16.04
3,24451,680480,Holofoil,Pokemon,ME: Mega Evolution Promo,31,N's Zekrom,Holofoil,Promo,6.89,2026-03-28 00:01:14,en,,,,45.0
